#close,open,high,low,volume
15200,16050,16200,14950,13314101
14300,14700,14950,14150,12391623
14850,14500,15150,14500,10619376
15050,15200,15600,14900,11702283
15050,15400,15500,14900,8472469
15100,15150,15300,14600,12711077
14400,14700,14950,14150,16321988
13900,14150,14300,13850,10935514
13900,14000,14300,13800,8331839
13550,13950,14100,13500,7855744
13400,13350,13550,13250,6491479
13650,13350,13850,13350,8810717
14150,13850,14150,13850,6256097
13850,14000,14050,13800,3230919
13300,13950,14050,13250,5638852
13400,13100,13600,13050,5830633
13000,13100,13300,12900,4893958
12850,12850,13200,12750,4176678
13150,12850,13250,12750,4546555
13400,13150,13500,13150,4361034
13000,13300,13450,12950,4250820
12700,13200,13250,12600,5353797
12900,12750,12900,12700,3320158
13000,12900,13200,12900,3352872
12700,13000,13050,12650,3591025
12950,12600,12950,12500,3255052
13050,13350,13350,13000,3588095
13650,13000,13700,12950,6645326
13900,13750,14050,13650,6082435
14100,14100,14200,13800,4690893
13850,14050,14150,13800,3695507
13700,14000,14100,13650,3656938
13600,13500,13750,13500,2189927
13850,13550,14050,13550,4011393
13500,13950,14050,13350,3899687
13450,13400,13650,13250,3768531
13000,13350,13450,12950,4188338
12400,12650,13000,12400,4244411
12600,12650,12700,12500,3123988
12550,12700,12900,12550,3925374
13150,12300,13450,12100,12593947
13000,13400,13450,12950,6334584
12800,12900,13100,12750,3190542
12450,12800,13000,12450,4159874
12300,12200,12450,12150,4965302
12150,12350,12600,12150,4353393
12100,12000,12250,11950,3089715
12150,12250,12300,12050,2733984
12200,12150,12550,12150,4164470
12500,12400,12750,12350,8052235
13200,12700,13400,12650,7916641
13700,13300,13700,13250,7145025
13500,13700,13950,13400,4755393
13300,13350,13500,13200,2585868
13900,13450,14050,13450,6859220
14500,13900,14500,13750,7941900
14400,14700,14800,14350,5270731
14050,14650,14700,14000,4800991
14150,14250,14550,14150,4197496
14350,14400,14550,14300,4610146
14550,14350,14800,14300,5725554
14600,14600,14800,14500,2602778
14950,14800,15100,14800,5135215
14850,15100,15300,14750,5750205
14700,14950,15050,14550,3363209
15400,15100,15400,14900,7887108
15750,15450,15800,15250,4764602
15900,15600,15950,15500,4529486
15650,15750,16050,15650,4286551
15900,15900,16050,15650,4755367
16000,15950,16100,15850,4275637
15350,15850,15900,15350,6712541
15750,15100,15750,15100,5870450
15950,15550,15950,15550,4587860
16100,16100,16650,16100,6551650
15650,16050,16200,15600,3836949
15700,15500,16000,15500,4954836
16100,15700,16200,15700,5109789
16350,16100,16450,16050,3643647
17400,16500,17650,16450,11627957
17400,17700,17750,17100,4909073
17150,17400,17550,17050,3392457
17150,17150,17450,16950,4865601
17400,17200,17600,17200,4056447
17200,17100,17300,16800,4143539
16550,16850,16950,16550,4018301
16400,16100,16600,15950,6179799
16750,16600,16900,16600,4114960
17000,16600,17050,16600,2749534
17000,16900,17100,16700,2529705
17700,17100,18050,17100,6595574
17700,17800,18100,17650,3047359
18100,18150,18300,17800,4458452
18150,17950,18250,17900,3002300
18850,18200,19700,18100,10263328
20850,19700,21300,19500,15923941
19950,21550,22050,19900,17115242
20350,19950,20400,19550,9169434
22050,21100,22250,21100,19239200
21700,22050,22250,21450,8664371
21550,21650,21900,21450,4848270
21950,21250,21950,21100,8065981
20800,21800,21900,20400,8651256
20250,20950,21400,19950,9168047
20550,19750,20850,19400,8911940
22700,20550,22700,20550,15230821
22650,22700,23550,22400,11740262
22950,23200,23400,22550,9199806
23500,23600,24550,23200,15268454
23900,24000,24250,23700,6401238
23550,23900,24100,23400,4460030
24650,23350,24850,23350,9339473
24000,25050,25550,24000,11123102
23000,23600,24150,23000,7842857
22100,22600,22900,21900,10028607
22500,21600,22800,21550,9883240
22400,22200,22600,21900,7710784
22700,22750,23300,22600,9141683
23200,22550,23500,22350,7580765
22050,23400,23650,22050,10748679
22350,22100,22900,22100,8724970
22100,22100,22400,21600,5713540
21500,22450,22700,21500,6708420
20800,21450,21700,20400,10174900
21550,20800,21550,20800,8238522
20600,21550,21750,20600,8316514
20350,20500,20900,20150,7331868
20200,20150,20550,20050,5779176
20950,20100,21250,20100,9747581
20150,20650,20850,20150,4857174
20550,20700,21050,20150,6985506
21400,20450,21500,20400,8041964
21900,21850,22100,21450,5802862
22900,21850,23200,21800,9960208
23000,23350,23500,22900,4752489
22000,23200,23500,22000,7304799
21700,22450,22650,21150,13926103
21450,21800,21900,21250,6864335
21500,21400,21900,21350,6679418
22800,21600,23000,21600,12663145
22750,22800,23150,22200,7541348
24350,22700,24400,22700,18197587
24100,24550,25450,23800,17275723
24000,24150,24450,23600,6291454
23650,24600,24850,23650,9493869
23500,23250,24200,23150,9512287
23550,23500,23800,23350,6643303
22800,23650,24150,22800,9226563
23800,23100,23800,23100,6178728
24000,24150,24650,23750,7674634
23600,23800,24100,23200,7136340
23800,23600,23850,23150,5127976
23000,24000,24050,23000,7730920
22500,23100,23350,22350,8475208
23000,22700,23100,22550,7060851
22750,22900,23350,22700,7670390
22400,22600,22950,22400,4973105
22650,22600,22900,22400,5062397
23750,22450,23750,22450,7190139
23200,23850,24150,23050,8445817
23800,23100,24100,22600,14352743
23350,23900,24000,22950,8738211
22300,23350,23600,22300,5672245
22050,22400,22700,21750,5833208
21500,21750,22250,21450,5454270
22250,21800,22300,21650,6525718
22700,21850,22750,21850,4986769
23300,22900,23300,22700,4826412
22600,23500,23600,22550,6523805
20950,22500,22500,20850,20171588
19700,19850,20350,19600,67108666
19000,19350,19650,19000,11611441
19050,19300,19400,19050,10932690
19550,19200,19800,19200,15149725
19650,19600,19750,19300,9642744
20000,20200,20400,19950,11475802
21150,20500,21300,20400,18118348
22000,21450,22000,21300,15054011
21700,22100,22150,21500,6461116
21800,21550,22150,21550,6406155
22050,21850,22150,21800,6719368
22750,22500,22800,22250,10273758
23850,22900,24100,22750,16150220
23950,23650,24000,23200,8906111
24250,23900,24800,23900,11228000
24250,24300,24550,23850,6512567
23250,24550,24600,23000,12485615
23400,23650,23850,23200,7496586
21450,22800,23400,21150,27815334
22150,21850,22350,21700,16006345
21400,22200,22350,21250,13015120
21100,21350,21750,21050,10973571
21950,21100,22100,21000,14492305
21750,21800,21950,21350,7891004
21900,21750,22100,21700,9063805
22600,21900,22650,21900,10351177
23600,23550,23800,23250,13751933
24200,23900,24400,23850,9915868
24750,23950,25000,23450,11957523
26600,24750,27400,24250,33017389
26600,26400,27050,25800,15973488
25700,26500,27050,25700,12589275
25700,25650,26250,25650,10240490
26050,26100,26650,25950,10798436
27450,26300,27750,26250,21078644
29450,28250,29800,27800,23126083
28900,29000,30200,28450,15461504
30700,29300,30850,28800,16470978
30300,30300,31050,30100,12219195
31000,30400,31300,30350,13220569
32900,31500,34150,31400,27211979
33450,33950,34400,33050,14205763
33850,33900,34050,32950,13141028
33000,34000,34100,32950,10205945
33200,32600,33600,32500,8378076
35300,33350,35300,33350,12846374
37600,36100,37650,35850,13366196
38100,38100,38400,36850,13834043
35300,38250,39050,35300,23140068
34600,35900,36000,33600,21566179
35050,34950,35850,34850,12707206
36750,35600,36750,35450,13652495
38000,37600,38600,37450,16155952
37350,37950,38150,36600,9532302
37700,37950,38450,37400,9289258
38100,36900,38100,36400,10008442
